text	label
What was the first English play written exclusively for children ?	ABBR:exp
How many copies of an album must be sold for it to be a gold album ?	ENTY:other
Name the U.S. Senate majority leader and the Speaker of the House .	ENTY:color
What year did Jack Nicklaus join the Professional Golfers Association tour ?	ENTY:event
What President lived at 219 North Delaware Street , Independence , Missouri ?	ENTY:color
How many letters appear with the numbers 2 to 9 on a telephone dial ?	ENTY:other
What is hypertext ?	ENTY:dismed
What river runs through Liverpool ?	ENTY:plant
What is the filmmakers collabrative ?	ENTY:dismed
What is the estimated total U.S. whitetail deer population ?	ENTY:other
What is the origin of the expression `` four-letter word '' ?	ENTY:letter
What is troilism ?	ENTY:dismed
How many people in the USA say their number one source of information is the newspaper ?	ENTY:other
What is false consciousness ?	ENTY:dismed
Who was the star of the 1965 Broadway hit Golden Boy ?	ENTY:color
Where can I find a `` Fifth Element '' screensaver ?	ENTY:plant
What is the origin of the word `` mind '' ?	ENTY:letter
What is the origin of thank you notes ?	ENTY:letter
What is an example of a famous rock band from the sixties ?	ENTY:cremat
What bowl game began as an East-West contest between Michigan and Stanford in 192 ?	HUM:ind
Where do you find the answers for all these questions ?	ENTY:plant
How tall is Prince Charles ?	NUM:dist
Who commanded the French forces at the Battle of Orleans ?	ENTY:color
What is the origin of the midwest slang , ` you 're darn tootin ' ?	ENTY:letter
What will a kid eat the middle of , and save the chocolate on the outside for last ?	ENTY:sport
What 's the Red Planet ?	ENTY:dismed
What phone number can I call to have a tree planted ?	NUM:date
How can I get my product licensed by the NBA ?	ABBR:abb
What does Tiffany mean ?	ENTY:dismed
What is the name of the planet that the Ewoks live on ?	ENTY:plant
When not adventuring on Rann , what does Adam Strange call his profession ?	ENTY:currency
Name the university of which Woodrow Wilson was president .	ENTY:cremat
What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?	ENTY:color
What ISPs exist in the Caribbean ?	ENTY:cremat
How far is the longest hole in 1 on any golf course and where did it happen ?	NUM:dist
What does NN O `` mean when used as a prefix in Irish surnames ?	ENTY:body
How did serfdom develop in and then leave Russia ?	ABBR:abb
How long does it take the typical American to eat 23 quarts of ice cream ?	DESC:reason
How many stations do you shoot from in the basketball game `` Around the World '' ?	ENTY:other
What is the lens behind the iris in the eye called ?	ENTY:techmeth
Where is the location of the Orange Bowl ?	ENTY:plant
