label	labeled
Film	True
Diaries	True
Diaries	True
Arts	True
Sports	True
Science	True
Science	True
Relationships	False
Diaries	False
Sports	False
Film	False
Learning	True
Science	False
Celebrity	False
Science	False
Sports	False
Film	False
Film	False
Diaries	False
Sports	False
Arts	True
Business	True
Diaries	True
Film	False
Science	False
Science	True
Science	True
Relationships	True
Diaries	True
Fitness	False
Celebrity	False
Science	False
Science	False
Science	False
Sports	False
Diaries	False
Diaries	False
Science	False
Celebrity	False
Sports	False
Celebrity	True
Learning	True
Arts	False
Science	False
Film	False
Sports	False
Diaries	True
Sports	False
Celebrity	False
Sports	False
Learning	True
Film	True
Food	True
Arts	False
Film	False
Learning	True
Diaries	True
Science	False
Science	True
Learning	True
Sports	False
Celebrity	False
Relationships	False
Sports	True
Fitness	False
Sports	True
Sports	True
Sports	False
Science	True
Science	True
Arts	True
Sports	False
Diaries	True
Youth	True
Science	False
Film	True
Science	True
Travel	True
Business	True
Arts	True
Business	False
Fitness	True
Arts	True
Business	False
Relationships	False
Science	True
Relationships	True
Celebrity	True
Relationships	False
Sports	True
Diaries	True
Business	True
Business	False
Celebrity	False
Sports	True
Film	False
Science	True
Arts	False
Science	False
Science	False
Fitness	False
Food	False
Film	True
Arts	True
Celebrity	True
Gaming	False
Diaries	True
Celebrity	False
Science	True
Science	True
Business	False
Celebrity	True
Science	False
Film	False
Film	False
Sports	True
Diaries	True
Diaries	True
Arts	False
Diaries	True
Diaries	True
Science	False
Business	False
Celebrity	True
Film	True
Celebrity	False
Food	True
Diaries	False
Film	False
Relationships	False
Diaries	False
Sports	False
Relationships	True
Film	True
Sports	False
Science	True
Sports	True
Relationships	False
Sports	True
Fitness	True
Science	True
Diaries	False
Sports	True
Science	False
Fitness	False
Business	False
Fitness	False
Diaries	False
Celebrity	True
Science	True
Diaries	True
Arts	False
Arts	True
Sports	False
Sports	False
Fitness	True
Diaries	True
Youth	False
Sports	True
Sports	True
Arts	True
News	False
Arts	False
Sports	False
Sports	False
Celebrity	True
Sports	True
Arts	True
Fitness	True
Relationships	True
Sports	False
Science	True
Sports	False
Science	False
Sports	True
Science	False
Celebrity	True
Celebrity	False
Celebrity	True
News	True
Diaries	True
Celebrity	True
Business	False
Celebrity	False
Sports	False
Diaries	False
Film	True
Science	True
Sports	True
Celebrity	True
Sports	False
Film	False
Science	False
Relationships	False
Science	True
Science	True
Youth	True
News	False
Film	False
Science	True
Relationships	True
Film	True
Film	True
Diaries	False
Science	True
Sports	False
Learning	True
Celebrity	True
Science	True
Science	False
Film	False
Diaries	False
Relationships	True
Sports	True
Business	True
Film	True
Science	False
Celebrity	False
Sports	True
Celebrity	True
Science	False
Relationships	False
Sports	False
Celebrity	True
Youth	False
Relationships	False
Food	True
Sports	True
Sports	False
Relationships	True
Business	True
Relationships	False
Science	False
Film	True
Celebrity	False
Science	False
Celebrity	True
Science	False
Sports	False
Diaries	False
Sports	True
Relationships	False
Arts	False
Science	False
Sports	False
Science	True
Science	True
Arts	False
Science	True
Science	False
Sports	False
Diaries	True
Science	False
Diaries	False
Celebrity	False
Science	False
Youth	False
Celebrity	False
Science	True
Arts	False
Sports	True
Celebrity	False
Film	True
Diaries	True
Sports	False
Film	True
Film	False
Science	True
Diaries	False
Sports	False
Relationships	True
Business	False
Music	False
Arts	True
Diaries	False
Celebrity	True
Arts	False
Celebrity	False
News	False
Science	True
Sports	True
Relationships	False
Science	False
Celebrity	True
Relationships	True
Celebrity	False
Science	False
Relationships	True
Family	False
Science	False
Film	True
Celebrity	True
Celebrity	True
Sports	True
Learning	False
Sports	False
Fitness	True
Celebrity	False
Science	True
Sports	True
Science	False
Sports	True
Science	False
Celebrity	False
Film	False
Film	False
Celebrity	True
Arts	True
Sports	True
Science	True
Learning	True
Science	True
Science	False
Arts	False
Sports	True
Sports	True
Relationships	True
Science	True
Science	False
Learning	False
Fitness	True
Family	False
Film	False
Diaries	False
Science	False
Family	True
Science	False
Science	False
Sports	False
Science	True
Arts	False
Diaries	False
Fitness	False
Celebrity	False
Film	False
Celebrity	True
Film	False
Celebrity	True
Sports	True
Fashion	False
Science	True
Business	False
Science	False
Science	True
Film	False
Diaries	False
Sports	False
Relationships	True
Sports	False
Celebrity	True
Food	True
Diaries	True
Fashion	True
Arts	True
Celebrity	True
Film	True
Family	False
Business	True
Relationships	True
Diaries	True
Science	True
Celebrity	False
Arts	False
Celebrity	True
Fitness	True
Sports	True
Celebrity	False
Celebrity	True
Film	False
Science	True
Science	False
Fitness	True
Arts	True
Sports	False
Celebrity	False
Film	False
Fitness	False
Sports	False
Sports	True
Relationships	False
Celebrity	False
Fashion	True
Business	False
Relationships	False
Diaries	True
Science	True
Gaming	False
Sports	False
Sports	True
Celebrity	True
Science	False
Arts	True
Science	False
Fitness	True
Science	False
Sports	False
Science	False
Relationships	False
Celebrity	False
Celebrity	True
Arts	False
Sports	False
Diaries	True
Celebrity	False
Science	True
Science	False
Celebrity	False
Relationships	False
Diaries	False
Celebrity	False
Fitness	True
Celebrity	False
Film	True
Science	False
Science	False
Arts	False
Diaries	True
Celebrity	True
Celebrity	False
Business	False
Film	False
Sports	True
Sports	False
Travel	True
Relationships	False
Celebrity	True
Sports	False
Celebrity	True
Fitness	False
Science	True
Relationships	False
Relationships	False
Science	True
Business	False
Science	False
Science	False
Science	True
Relationships	True
Fitness	False
Sports	True
Youth	True
Film	True
Diaries	False
Celebrity	False
Celebrity	False
Diaries	True
Sports	False
Sports	False
Relationships	True
Diaries	True
Fitness	False
Celebrity	False
Fashion	False
Diaries	True
Business	False
Arts	True
Sports	True
Food	True
Relationships	False
Science	True
Celebrity	True
Science	False
Sports	True
Science	False
Sports	False
Diaries	False
Learning	True
Learning	False
Sports	False
Science	True
Celebrity	False
Sports	True
Celebrity	False
Relationships	False
Sports	False
Science	False
Business	False
Family	True
Celebrity	True
Science	False
Diaries	True
Film	True
Sports	False
Science	True
Sports	False
Business	False
Science	True
Business	True
Sports	False
Diaries	True
Science	False
Diaries	False
Science	True
Food	False
Fashion	True
Celebrity	True
Film	True
Relationships	False
Diaries	True
Science	False
Business	True
Sports	False
Film	False
Science	False
Celebrity	True
Celebrity	False
Science	False
Music	False
Film	False
Science	False
Arts	True
Science	True
Arts	True
Film	True
Relationships	True
Science	False
Business	True
Sports	False
Celebrity	False
Diaries	True
Celebrity	True
Science	False
Sports	False
Relationships	False
Sports	False
Relationships	False
Science	True
Science	True
Sports	False
Sports	False
Sports	False
Celebrity	False
Fashion	True
Science	True
Youth	True
Youth	True
Film	True
Fitness	False
Celebrity	True
Celebrity	False
Film	False
Celebrity	False
Arts	False
Youth	False
Arts	True
Film	True
Sports	False
Sports	True
Science	True
Family	False
Learning	False
Relationships	True
Business	False
Science	True
Sports	False
Relationships	False
Film	True
Relationships	True
Fashion	True
Film	False
Learning	True
Celebrity	False
Celebrity	True
Film	False
Celebrity	True
Sports	True
Diaries	False
Sports	True
Diaries	True
Celebrity	True
Science	True
Celebrity	False
Celebrity	False
Relationships	True
Diaries	False
Celebrity	False
Sports	False
Relationships	True
Sports	True
Fitness	True
Fitness	False
Arts	False
Learning	False
Sports	True
Sports	True
Celebrity	True
Youth	False
Science	True
Sports	False
Science	True
Sports	True
Sports	False
Diaries	True
Science	True
Arts	False
Celebrity	True
Celebrity	True
Film	False
Celebrity	False
Sports	True
Relationships	True
Celebrity	False
Relationships	False
Diaries	True
Film	True
Science	False
Family	True
Science	False
Fitness	True
Learning	True
Youth	True
Diaries	False
Diaries	False
Science	True
Celebrity	True
Sports	True
Learning	True
Sports	False
Learning	True
Diaries	True
Youth	True
Science	False
Sports	False
Sports	False
Sports	False
Business	True
Science	False
Sports	False
Business	True
Celebrity	False
Science	False
Fashion	True
Relationships	True
Relationships	True
Relationships	True
Film	False
Science	True
Diaries	False
Film	False
Business	True
Relationships	False
Film	True
Sports	True
Sports	True
Sports	True
Science	True
Relationships	True
Celebrity	False
Learning	True
Celebrity	False
Sports	False
Celebrity	False
Celebrity	False
Relationships	True
Celebrity	False
Science	True
Diaries	False
Arts	False
Celebrity	True
Celebrity	False
Science	False
Film	False
Arts	False
Sports	False
Celebrity	False
Celebrity	False
Celebrity	False
Learning	True
Business	True
Diaries	False
Relationships	True
Science	True
Film	False
Sports	False
Fitness	True
Science	False
Gaming	True
Business	False
Business	False
Science	False
Science	True
Fitness	True
Sports	True
Science	False
Celebrity	False
Arts	True
Relationships	False
Science	True
Film	False
Relationships	False
Relationships	False
Sports	True
Sports	False
Sports	False
Food	False
Diaries	False
Celebrity	False
Arts	True
Sports	True
Science	False
Science	False
Business	False
Science	False
Science	False
Diaries	False
Science	False
Sports	False
Diaries	False
Science	False
Science	True
Gaming	True
Film	True
Fitness	True
Arts	True
Sports	False
Business	False
Relationships	True
Business	False
Relationships	False
Celebrity	True
Arts	False
Celebrity	False
Sports	False
Celebrity	False
Science	False
Sports	True
Sports	False
Gaming	True
Film	True
Sports	False
Science	True
Family	True
Relationships	False
Sports	True
Science	False
Diaries	True
Science	False
Family	True
Science	False
Diaries	False
Sports	True
Celebrity	False
Diaries	True
Diaries	True
Business	False
Sports	False
Fitness	False
Science	True
Science	False
Science	False
Film	False
Arts	True
Relationships	True
Celebrity	False
News	False
Business	True
Film	False
Sports	True
Film	True
Film	False
Gaming	True
Diaries	False
Science	False
Science	False
Arts	True
Diaries	False
Business	False
Film	False
Celebrity	True
Science	True
Family	True
Sports	False
Sports	True
Science	False
Celebrity	False
Fashion	False
Sports	True
Travel	True
Celebrity	False
