text	label
Eight eBay sellers admit phony bids . EBAY VENDORS were ordered to pay nearly \$90,000 in restitution and fines after admitting they bid up products online to inflate the prices.	Business
Travel sites agree to changes for the blind . Priceline.com and Ramada.com have agreed to make their Web pages easier to navigate for the blind and visually impaired as part of a settlement with New York Attorney General Eliot Spitzer.	Sci/Tech
Guardian panel Nobody is quaking . The Guardian panel, broadly representative of people across Britain, was established in the run-up to the last general election. In 2001 most of the respondents, after some reservations, backed Labour.	World
Three little isles . The ravages of Hurricane Ivan have left their mark on three islands in the Caribbean in very different ways. As people try to pick up the pieces of their lives across the region, there 	Business
Delta to slash up to 7,000 jobs . Delta Air Lines unveiled changes yesterday that will remake its business, but officials warned that soaring costs still could land the nation #39;s third-largest carrier carrier in bankruptcy court.	Business
Real Madrid celebrates comeback . MADRID: It wasnt just the late September sun that the Spanish capital was basking in here on Wednesday, there was a warm glow as well from the way Real Madrid came back from two goals down to beat Roma 4-2 in Tuesdays Champions League group B match.	Sports
Oracle again extends offer for PeopleSoft . Oracle Corp. #39;s hostile bid to acquire rival enterprise software maker PeopleSoft Inc. for \$7.7 billion is set to continue for a bit longer.	Sci/Tech
Manufacturing Speeds Up as Consumers Spend Away . The outlook for US manufacturing improved in November as factories hired more workers in response to a jump in new orders, a national survey published on Wednesday showed.	Business
Carter #39;s Subtle Mistake Costs the Jets a Game . WHEN quarterback Quincy Carter was unexpectedly released by the Dallas Cowboys during training camp, his departure was surrounded by whispers, never officially confirmed, that he had failed a drug test.	Sports
Poutiainen edges Paerson in giant slalom; Canadian Forsyth is 11th . ASPEN, Colorado (CP) - Finland #39;s Tanja Poutiainen charged down the hill on the final stretch of her second run and edged Sweden #39;s Anja Paerson by 0.09 seconds for her first World Cup giant slalom title on Friday.	Sports
Perdue Pharma Tags OxyContin . Nov. 16, 2004Starting this week, US pharmaceutical company Purdue Pharma will begin adding an RFID label to every 100-tablet bottle of the company #39;s popular OxyContin pain reliever tablets to be shipped to Wal-Mart and drug wholesaler HD Smith.	Sci/Tech
Senate passes corporate tax bill . The bill was approved by a 69-37 vote. It cuts taxes for businesses ranging from film companies to bow-and-arrow makers. It also closes tax loopholes and brings US exporters in line with international trade rules.	Business
Giants Plan to Honor Bonds' Milestones (AP) . AP - The San Francisco Giants will honor Barry Bonds' home run milestones and other achievements as they always have  #151; with great fanfare.	Sports
Canada buries submariner, probes tragedy . Canada buried a sailor this week who died in a submarine fire that naval officers say was poorly handled by the vessel #39;s skipper.	World
Top three seeded players ousted in CA Trophy quarterfinals . The top three seeded players were eliminated in the quarterfinals of the CA Trophy on Friday, and American Robby Ginepri also was ousted.	Sports
BP Agrees to Sell \$2 Billion of LNG to SK Corp. Unit (Update1) . BP Plc, Europe #39;s largest oil company, and its partners in an Indonesian liquefied natural gas venture agreed to sell about \$2 billion of the fuel over 20 years to a unit of South Korea #39;s largest oil refiner.	Business
Business news briefs: 10/9/04 . It may be up to Pittsburgh shoppers to determine if consumer electronics retailer Circuit City continues its foray into the eBay drop-off business.	Sci/Tech
Astros' Lidge Ready to Be Called Upon (AP) . AP - Brad Lidge is starting to get antsy. The Houston Astros' closer has warmed in the first two games of the NLCS, but has remained in the bullpen. He wasn't needed in Game 5 of the division series, either, so his last appearance was Sunday  #151; when he blew a save against Atlanta.	Sports
Berlusconi hair mystery revealed by Italian surgeon (AFP) . AFP - The mystery of Silvio Berlusconi's rapper-style bandana was explained when plastic surgeon Piero Rosati told the Milan daily Corriere della Sera that he had performed a hair transplant operation on the Italian prime minister.	World
Price will be right for checking credit report . Here #39;s a great way to better manage your finances in 2005: Get a free copy of your credit report. Beginning in March, Illinois residents will be entitled to one free credit report from each of the three major 	Business
Pakistan ; Pak gears up for Eid . Pakistan News, Islamabad/Karachi: Preparations are in full swing across Pakistan for the Muslim festival of Eid-ul-Fitr. The festival is expected to fall on November 14 or 15 in Pakistan.	World
Tomjanovich, Lakers have a big night . The Lakers blew a 22-point lead they held in the third quarter but still managed to give Tomjanovich a win over his former team. In an emotional pregame ceremony, Tomjanovich was honored 	Sports
White Sox Top Seattle 6-2, 3rd Win in Row (AP) . AP - Joe Borchard and Paul Konerko each hit two-run homers to back a strong outing by Felix Diaz and the Chicago White Sox won their third straight with a 6-2 victory over the Seattle Mariners on Sunday.	Sports
Backfield Carries Load . Virginia's win over Clemson would not have been possible without 239 rushing yards.	Sports
Storage market grows, HP's share shrinks . Hewlett-Packard Co. (HP) held on to its lead in the disk storage systems market in the second quarter, but saw a decline in revenue and market share, according to a survey by market researcher IDC published Friday.	Sci/Tech
Security Council agrees on Sudan resolution as foes pledge imminent deal (AFP) . AFP - UN ambassadors agreed here unanimously on the text of a resolution aimed at restoring peace to war-ravaged Sudan, as the country's main foes promised to conclude talks on their 21-year-old conflict by the end of the year.	World
Virgin Mary On Grilled Cheese Sandwich Sells on eBay . The online casino, GoldenPalace.com, bid \$28,000 to purchase a 10-year-old grilled cheese sandwich that supposedly bears the image of the Virgin Mary.	Sci/Tech
 #39;); //-- gt; Eye On Stocks . Cingular Wireless said it reached an agreement with AT amp;T (nyse: T - news - people ) resolving a branding dispute for the AT amp;T name.	Business
Intelsat sale could fall through . Intelsat lost a satellite during the weekend, and that could put its \$5 billion sale to private investors in jeopardy. Intelsat says a sudden and unexpected electrical-distribution anomaly caused the permanent loss of the spacecraft.	Business
DOLPHINS POSTPONE SUNDAY GAME . For the second time in three weeks, a tropical disturbance has forced the Miami Dolphins from participating in an NFL Sunday. With Hurricane Jeanne - a Category 2 storm - threatening the east coast of Florida 	Sports
Gov #39;t reaches agreement to lend oil . An agreement has been reached to lend 1.7 million barrels of oil from the government #39;s Strategic Petroleum Reserve to two companies whose refineries were running short of crude 	Business
Suzuki breaks singles record . CBC SPORTS ONLINE - Seattle Mariners outfielder Ichiro Suzuki is the new single-season singles king of Major League Baseball. Suzuki broke the 77-year-old record with his 199th single of the year.	Sports
Industrial Output Growth Nearly Stalls . US industrial output growth nearly stalled last month as production cuts at mines and utilities nearly swamped a strong performance at factories, a report from the Federal Reserve showed on Wednesday.	Business
Xavi: Chelsea Play Like Valencia . Xavi believes that Jose Mourinho has copied Valencia in his tactics at Chelsea as he reflected on Barcelona #39;s meeting with the Blues in the Champions League.	Sports
Google jumps 18 pc on debut . NEW YORK (CNN/Money) -- Google stock jumped 18 percent in its long-awaited but rocky debut Thursday. 	Business
Yukos partly suspends oil deliveries to China . MOSCOW : Russia #39;s embattled Yukos oil giant said it had partly suspended its deliveries to China because its legal troubles have left it without cash to pay transport and customs costs.	Business
Guatemala to pay paramilitaries . Guatemala's government agrees to pay millions of dollars to former paramilitaries, who some accuse of war crimes.	World
MetLife may be sued over Boston unit . MetLife Inc. , the second-largest US life insurer, said the Securities and Exchange Commission may sue the company for improperly recording expenses at its New England Life Insurance Co. unit.	Business
Gunmen rob cricket legend Imran . Pakistani cricket star Imran Khan has been robbed by armed men in the country's capital, Islamabad.	World
Colombian Congress Approves Uribe's Re-Election Bid .  BOGOTA, Colombia (Reuters) - Colombia's Congress on Tuesday  approved a bill allowing Alvaro Uribe, one of few conservative  South American presidents with strong ties to Washington, to  run for an unprecedented second term.	World
Peru Gunmen Seize Police Station (AP) . AP - Gunmen belonging to a nationalist group that seized a police station in remote southern Peru ambushed a police vehicle on Sunday, killing four officers and wounding several more, hospital officials said. One gunman was gravely wounded.	World
American Aaron Peirsol #39;s Gold Restored on Appeal . ATHENS (Reuters) - Aaron Peirsol was awarded gold in the men #39;s 200 meters backstroke at the Athens Olympics on Thursday after winning an appeal against his disqualification then surviving a protest from the British and Austrian teams. 	Sports
Is It Still Called a Venture Fund When You Use Your Own Money? . Halsey M. Minor, the former CNET guru, is now running his own, very private, investment fund.	Business
Pakistanis Arrest More Militant Suspects . KARACHI, Pakistan - Pakistani forces following up on a raid that killed a top al-Qaida fugitive arrested four more suspected extremists Monday, while the U.S. Embassy warned that security constraints could keep its staff from helping citizens who get into trouble outside big cities...	World
CL Preview: Bayern host Juventus, Ajax face Maccabi Tel Aviv . MUNICH/TEL AVIV, Nov 2 (SW) - Bayern Munich aim to take three points against Juventus on Wednesday, while Ajax Amsterdam travel to Israel to face Maccabi Tel Aviv in an attempt to stay in the race for the second round.	Sports
Riley proves he belongs, preventing US morning shutout in Ryder &lt;b&gt;...&lt;/b&gt; . Chris Riley is the least-qualified US Ryder Cup member. Following one of America #39;s worst days in golf #39;s most important team competition, there was no question he belonged.	Sports
"European Shares Up on Fed Relief .  LONDON (Reuters) - European shares tracked Wall Street's  gains after the Federal Reserve stuck to its ""measured""  rate-tightening pace, reassured on inflation and indicated that  the U.S. economy was growing at a moderate pace."	Business
LG Philips lays claim to biggest OLED . Prototype 20.1-inch display is the world's largest OLED, the South Korea-based manufacturer says.	Sci/Tech
MetLife discloses contingent payments . MetLife Inc. said on Tuesday that it paid brokers and consultants about \$25 million last year in  quot;contingent payments, quot; which are the subject of a probe by New York state Attorney General Eliot Spitzer.	Business
Iraqi Official Derides U.N. Election Aid (AP) . AP - The United Nations has not sent enough election workers to help out with vital balloting in Iraq set for January, the Iraqi foreign minister said Wednesday.	World
Bob Evans, mainframe pioneer, dies at 77 . Evans led a team that developed a new class of mainframe computers that allowed different applications to be run simultaneously.	Sci/Tech
Delta announces job cuts . Indianapolis, Sept. 8 - The news hit an already suffering industry hard. Delta Airline #39;s restructuring calls for a reduction of ten percent of its workforce, or about 7,000 people.	Business
February check on 2012 bid . Inspectors will assess London #39;s bid for the 2012 Olympics during a visit to the capital early in 2005. The International Olympic Committee said its evaluation commission will be in London from 16 to 19 February.	Sports
Spyware case hits US court . THE US Federal Trade Commission has filed America #39;s first case against software companies accused of infecting computers with intrusive spyware and then trying to sell people the solution.	Business
Nokia bolsters SSL VPN security . Nokia has boosted the security and functionality of its Secure Access System Secure Socket Layer virtual private network (VPN) platform.	Sci/Tech
FrontRange CEO bullish . He outlines management and strategy changes for the CRM and service management company.	Sci/Tech
Mello ousts Spadea to win title in Delray Beach . Delray Beach, FL (Sports Network) - Brazilian Ricardo Mello upset top-seeded American Vince Spadea in straight sets on Sunday to win the title at the \$380,000 International Tennis Championships.	Sports
Microsoft Distributes XP Security Update (AP) . AP - Microsoft Corp. says it has distributed about 106 million copies of its major security update for the Windows XP operating system.	Sci/Tech
UPDATE 2-Credit Suisse to integrate units, float Winterthur . Credit Suisse (CSGN.VX: Quote, Profile, Research) will integrate its investment bank Credit Suisse First Boston with its private bank and aims to float its Winterthur 	Business
UEFA approves use of artificial turf . The governing body of European soccer has approved artificial turf for its competitions at the club and national team level beginning next season, UEFA #39;s chief executive said Wednesday.	Sports
Rangers 12, Athletics 9 . OAKLAND, Calif. Alfonso Soriano had three hits and two RB-Is as the Texas Rangers beat the Oakland Athletics, 12-to-9. The win comes a night after Texas reliever Frank Francisco threw a plastic chair into the stands in Oakland and broke a woman #39;s nose.	Sports
