label	labeled
yes	True
insurance_change	False
calendar_update	True
replacement_card_duration	False
no	False
international_visa	False
yes	False
application_status	False
cook_time	False
distance	False
uber	False
interest_rate	False
make_call	True
no	False
rollover_401k	False
todo_list_update	True
international_fees	False
who_do_you_work_for	False
payday	False
order_status	False
jump_start	False
pto_request	False
yes	False
rewards_balance	False
shopping_list_update	False
international_fees	False
change_accent	False
current_location	False
timezone	False
book_flight	False
whisper_mode	True
calories	False
todo_list	False
what_is_your_name	False
maybe	False
credit_limit	False
play_music	True
international_visa	False
calendar_update	False
meal_suggestion	False
shopping_list_update	False
pto_request_status	False
roll_dice	False
timezone	False
insurance_change	False
tire_change	False
definition	False
account_blocked	False
international_fees	False
calories	False
change_speed	False
what_is_your_name	False
ingredients_list	False
flight_status	False
goodbye	False
update_playlist	True
restaurant_suggestion	False
transactions	True
play_music	False
credit_limit_change	False
application_status	False
greeting	False
flip_coin	False
rewards_balance	False
international_visa	False
who_do_you_work_for	False
travel_suggestion	False
book_hotel	False
oil_change_when	False
what_are_your_hobbies	False
cancel_reservation	False
date	False
insurance	False
uber	False
shopping_list_update	False
confirm_reservation	False
restaurant_suggestion	False
distance	False
calculator	False
confirm_reservation	True
do_you_have_pets	True
bill_balance	False
change_volume	False
oil_change_how	False
change_speed	False
thank_you	False
what_is_your_name	False
expiration_date	False
food_last	False
freeze_account	False
what_song	False
timezone	False
what_is_your_name	True
food_last	False
transactions	False
car_rental	False
pay_bill	False
directions	False
payday	False
balance	False
lost_luggage	False
schedule_maintenance	False
account_blocked	True
last_maintenance	False
oil_change_when	False
gas	False
change_speed	True
expiration_date	False
vaccines	False
reminder	False
pto_balance	False
book_hotel	False
book_hotel	False
last_maintenance	True
play_music	False
calendar	False
pto_balance	True
are_you_a_bot	False
travel_suggestion	False
international_visa	False
travel_alert	False
pto_balance	False
find_phone	False
expiration_date	False
flight_status	False
reminder	False
find_phone	False
definition	False
interest_rate	False
book_hotel	False
pto_request_status	False
pin_change	False
next_song	False
timer	False
what_is_your_name	False
ingredients_list	False
reset_settings	False
travel_alert	False
carry_on	False
mpg	False
calculator	False
shopping_list_update	False
rollover_401k	False
cancel_reservation	False
change_accent	False
meeting_schedule	False
smart_home	False
what_is_your_name	False
credit_score	False
text	False
oil_change_when	False
next_holiday	False
card_declined	True
what_are_your_hobbies	False
